Category,Default 24X24,Icon Name,Small 20X20,Icon Name S,Large 30X30,Icon Name L,XSmall 16X16,Icon Name XS,XLarge 60X60,con Name XL,Sizes,Type
"RCE, WixBrands",,BulletedList,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/BulletedList_Small_20X20.svg,BulletedListSmall,,,,,,,Small 20X20,
"RCE, WixBrands",,DecreaseIndent,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/DecreaseIndent_Small_20X20.svg,DecreaseIndentSmall,,,,,,,Small 20X20,
"RCE, WixBrands",,HighlightColor,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/HighlightColor_Small_20X20.svg,HighlightColorSmall,,,,,,,Small 20X20,
"RCE, WixBrands",,IncreaseIndent,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/IncreaseIndent_Small_20X20.svg,HighlightColorSmall,,,,,,,Small 20X20,
"RCE, WixBrands",,Italic,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/Italic_Small_20X20.svg,HighlightColorSmall,,,,,,,Small 20X20,
"RCE, WixBrands",,Justify,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/Justify_Small_20X20.svg,JustifySmall,,,,,,,Small 20X20,
"RCE, WixBrands",,LineSpacing,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/LineSpacing_Small_20X20.svg,LineSpacingSmall,,,,,,,Small 20X20,
"RCE, WixBrands",,NumberedList,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/NumberedList_Small_20X20.svg,NumberedListSmall,,,,,,,Small 20X20,
"RCE, WixBrands",,Quote,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/Quote_Small_20X20.svg,QuoteSmall,,,,,,,Small 20X20,
"RCE, WixBrands",,Snippet,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/Snippet_Small_20X20.svg,SnippetSmall,,,,,,,Small 20X20,
"RCE, WixBrands",,SpoilerAlert,,,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/SpoilerAlert_Large_40X40.svg,SpoilerAlertLarge,,,,,Large 30X30,
"RCE, WixBrands",,TextColor,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/TextColor_Small_20X20.svg,TextColorSmall,,,,,,,Small 20X20,
"RCE, WixBrands",,TextStyle,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/TextStyle_Small_20X20.svg,TextStyleSmall,,,,,,,Small 20X20,
"RCE, WixBrands",,TextStyle1,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/TextStyle1_Small_20X20.svg,TextStyle1Small,,,,,,,Small 20X20,
